year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2023,4,1,211.0 B,Arnault,Bernard,Bernard Arnault & family,05-03-1949,74,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,FALSE,Increased
2023,4,2,180.0 B,Musk,Elon,Elon Musk,28-06-1971,51,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,TRUE,Decreased
2023,4,3,114.0 B,Bezos,Jeff,Jeff Bezos,12-01-1964,59,Male,United States,United States,Medina,Technology,['Technology'],Amazon,Chairman and Founder,TRUE,Decreased
2023,4,4,107.0 B,Ellison,Larry,Larry Ellison,17-08-1944,78,Male,United States,United States,Lanai,Technology,['Technology'],Oracle,CTO and Founder,TRUE,Increased
2023,4,5,106.0 B,Buffett,Warren,Warren Buffett,30-08-1930,92,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,TRUE,Decreased
2023,4,6,104.0 B,Gates,Bill,Bill Gates,28-10-1955,67,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cochair,TRUE,Decreased
2023,4,7,94.5 B,Bloomberg,Michael,Michael Bloomberg,14-02-1942,81,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,TRUE,Increased
2023,4,8,93.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,28-01-1940,83,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,TRUE,Increased
2023,4,9,83.4 B,Ambani,Mukesh,Mukesh Ambani,19-04-1957,65,Male,India,India,Mumbai,Diversified,['Diversified'],Reliance Industries,Founder and Chairman,FALSE,Decreased
2023,4,10,80.7 B,Ballmer,Steve,Steve Ballmer,24-03-1956,67,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,TRUE,Decreased
2023,4,11,80.5 B,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,10-07-1953,69,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2023,4,12,79.2 B,Page,Larry,Larry Page,26-03-1973,50,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Decreased
2023,4,13,77.3 B,Ortega,Amancio,Amancio Ortega,28-03-1936,87,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2023,4,14,76.0 B,Brin,Sergey,Sergey Brin,21-08-1973,49,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Decreased
2023,4,15,68.0 B,Zhong,Shanshan,Zhong Shanshan,01-12-1954,68,Male,China,China,Hangzhou,Food & Beverage,['Food & Beverage'],,,TRUE,Increased
2023,4,16,64.4 B,Zuckerberg,Mark,Mark Zuckerberg,14-05-1984,38,Male,United States,United States,Palo Alto,Technology,['Technology'],Meta Platforms,Cofounder,TRUE,Decreased
2023,4,17,59.0 B,Koch,Charles,Charles Koch,01-11-1935,87,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",Chairman and CEO,FALSE,Decreased
2023,4,17,59.0 B,Koch,Julia,Julia Koch & family,12-04-1962,60,Female,United States,United States,New York,Diversified,['Diversified'],,,FALSE,Decreased
2023,4,19,58.8 B,Walton,Jim,Jim Walton,07-06-1948,74,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,FALSE,Decreased
2023,4,20,57.6 B,Walton,Rob,Rob Walton,27-10-1944,78,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,FALSE,Decreased
2023,4,21,56.7 B,Walton,Alice,Alice Walton,07-10-1949,73,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,FALSE,Decreased
2023,4,22,54.4 B,Thomson,David,David Thomson & family,12-06-1957,65,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters Corporation,Chairman,FALSE,Increased
2023,4,23,50.1 B,Dell,Michael,Michael Dell,23-02-1965,58,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,TRUE,Decreased
2023,4,24,47.2 B,Adani,Gautam,Gautam Adani,24-06-1962,60,Male,India,India,Ahmedabad,Diversified,['Diversified'],,,TRUE,Decreased
2023,4,25,45.1 B,Knight,Phil,Phil Knight & family,24-02-1938,85,Male,United States,United States,Hillsboro,Fashion & Retail,['Fashion & Retail'],Nike,Chairman,TRUE,Decreased
2023,4,26,45.0 B,Zhang,Yiming,Zhang Yiming,01-01-1984,39,Male,China,China,Beijing,Technology,['Technology'],ByteDance,Founder,TRUE,Decreased
2023,4,27,42.9 B,Schwarz,Dieter,Dieter Schwarz,24-09-1939,83,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,FALSE,Decreased
2023,4,28,40.1 B,Pinault,François,François Pinault & family,21-08-1936,86,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,TRUE,Decreased
2023,4,29,39.1 B,Kuehne,Klaus-Michael,Klaus-Michael Kuehne,02-06-1937,85,Male,Germany,Switzerland,Schindellegi,Logistics,['Logistics'],,,FALSE,Increased
